timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-08-03T00:00:00.000Z";"2020-08-03T23:59:59.999Z";"2020-08-03T02:18:23.000Z";"2020-08-03T06:23:27.000Z";"2781";1.7322900834;1.830034343;1.668725882;1.8026109836;5836036.44;31085735.0137577;"2020-08-03T23:59:59.999Z"
"2020-08-02T00:00:00.000Z";"2020-08-02T23:59:59.999Z";"2020-08-02T23:40:28.000Z";"2020-08-02T04:47:14.000Z";"2781";1.5299097878;1.746822822;1.4119729018;1.7428103498;7216576.39;30054693.6113815;"2020-08-02T23:59:59.999Z"
"2020-08-01T00:00:00.000Z";"2020-08-01T23:59:59.999Z";"2020-08-01T04:24:15.000Z";"2020-08-01T00:17:15.000Z";"2781";1.5327589175;1.6622289167;1.4988720501;1.5266096403;4589882.25;26326510.4083857;"2020-08-01T23:59:59.999Z"
"2020-07-31T00:00:00.000Z";"2020-07-31T23:59:59.999Z";"2020-07-31T00:08:23.000Z";"2020-07-31T18:18:16.000Z";"2781";1.6868071033;1.6884881442;1.5104049495;1.5381776554;4822046.27;26526190.853226;"2020-07-31T23:59:59.999Z"
"2020-07-30T00:00:00.000Z";"2020-07-30T23:59:59.999Z";"2020-07-30T10:17:17.000Z";"2020-07-30T01:38:30.000Z";"2781";1.6582894819;1.7964490756;1.6357119142;1.6868071033;5222980.08;29089539.6606279;"2020-07-30T23:59:59.999Z"
"2020-07-29T00:00:00.000Z";"2020-07-29T23:59:59.999Z";"2020-07-29T03:05:07.000Z";"2020-07-29T23:21:21.000Z";"2781";1.7856619474;2.0956222621;1.5931664867;1.6582894819;10348944.53;28597942.6143557;"2020-07-29T23:59:59.999Z"
"2020-07-28T00:00:00.000Z";"2020-07-28T23:59:59.999Z";"2020-07-28T19:56:28.000Z";"2020-07-28T02:57:20.000Z";"2781";1.7841105086;1.8586721686;1.6117686242;1.7840672328;9692632.17;30767254.4661293;"2020-07-28T23:59:59.999Z"
"2020-07-27T00:00:00.000Z";"2020-07-27T23:59:59.999Z";"2020-07-27T13:19:06.000Z";"2020-07-27T00:06:05.000Z";"2781";1.5650978505;2.0427395416;1.5610869348;1.7786355018;32838354.71;30673811.3399836;"2020-07-27T23:59:59.999Z"
"2020-07-26T00:00:00.000Z";"2020-07-26T23:59:59.999Z";"2020-07-26T23:38:22.000Z";"2020-07-26T01:01:26.000Z";"2781";1.2447281293;1.6246480121;1.2382832885;1.5651096946;10463129.6;26991607.0561782;"2020-07-26T23:59:59.999Z"
"2020-07-25T00:00:00.000Z";"2020-07-25T23:59:59.999Z";"2020-07-25T22:11:16.000Z";"2020-07-25T00:08:22.000Z";"2781";0.9954404758;1.4327404741;0.995397298;1.2522228542;9978279.44;21595764.5736461;"2020-07-25T23:59:59.999Z"
"2020-07-24T00:00:00.000Z";"2020-07-24T23:59:59.999Z";"2020-07-24T00:02:20.000Z";"2020-07-24T12:46:16.000Z";"2781";1.0498435789;1.0539536708;0.9747797093;0.9953455032;1991763.31;17165794.8003885;"2020-07-24T23:59:59.999Z"
"2020-07-23T00:00:00.000Z";"2020-07-23T23:59:59.999Z";"2020-07-23T07:17:24.000Z";"2020-07-23T01:03:13.000Z";"2781";1.0461550093;1.10121768;0.9973940848;1.0498435789;2970423.13;18105795.7974271;"2020-07-23T23:59:59.999Z"
"2020-07-22T00:00:00.000Z";"2020-07-22T23:59:59.999Z";"2020-07-22T03:37:15.000Z";"2020-07-22T00:10:15.000Z";"2781";0.9771979561;1.1047035089;0.9724847533;1.0440872525;5295001.98;18006642.2008208;"2020-07-22T23:59:59.999Z"
